epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,245.097,1.26185,0.90335,1.20057,0.73007,0.59789,0.66102,0.33867,1.68935,1.18146,1.45606,0.00165875,0.00165875,0.00165875
137,246.542,1.28201,0.91327,1.21872,0.70156,0.59387,0.66022,0.35135,1.67331,1.16212,1.43966,0.001634,0.001634,0.001634
138,248.011,1.34248,0.89865,1.21521,0.70156,0.59387,0.66022,0.35135,1.67331,1.16212,1.43966,0.00160925,0.00160925,0.00160925
139,249.706,1.23564,0.87796,1.17005,0.76372,0.5444,0.66052,0.35098,1.6842,1.14629,1.43402,0.0015845,0.0015845,0.0015845
140,252.284,1.2257,0.86674,1.15434,0.71926,0.53684,0.62749,0.31683,1.75512,1.20538,1.47105,0.00155975,0.00155975,0.00155975
141,253.93,1.24811,0.91352,1.21629,0.71926,0.53684,0.62749,0.31683,1.75512,1.20538,1.47105,0.001535,0.001535,0.001535
142,255.485,1.21563,0.94311,1.21849,0.70848,0.55263,0.63469,0.31768,1.74088,1.2081,1.46652,0.00151025,0.00151025,0.00151025
143,256.893,1.20999,0.87264,1.17461,0.6739,0.56559,0.65166,0.33194,1.68589,1.17544,1.43573,0.0014855,0.0014855,0.0014855
144,258.345,1.21091,0.85152,1.16788,0.6739,0.56559,0.65166,0.33194,1.68589,1.17544,1.43573,0.00146075,0.00146075,0.00146075
145,259.908,1.24545,0.88613,1.18265,0.70986,0.57946,0.65958,0.33927,1.67543,1.17563,1.42797,0.001436,0.001436,0.001436
146,261.326,1.16711,0.86856,1.18662,0.70986,0.57946,0.65958,0.33927,1.67543,1.17563,1.42797,0.00141125,0.00141125,0.00141125
147,262.854,1.28738,0.88348,1.18792,0.74014,0.58947,0.66965,0.34095,1.67917,1.16647,1.4346,0.0013865,0.0013865,0.0013865
148,265.041,1.24758,0.8792,1.16987,0.71541,0.58216,0.65717,0.33601,1.68843,1.16422,1.44417,0.00136175,0.00136175,0.00136175
149,267.473,1.21225,0.89242,1.21836,0.71541,0.58216,0.65717,0.33601,1.68843,1.16422,1.44417,0.001337,0.001337,0.001337
150,269.134,1.20008,0.84237,1.17115,0.71093,0.54737,0.64508,0.33237,1.69675,1.1641,1.44567,0.00131225,0.00131225,0.00131225
151,270.587,1.19469,0.88837,1.18808,0.69243,0.59474,0.66151,0.34361,1.66316,1.15335,1.42627,0.0012875,0.0012875,0.0012875
152,271.967,1.20834,0.86094,1.17847,0.69243,0.59474,0.66151,0.34361,1.66316,1.15335,1.42627,0.00126275,0.00126275,0.00126275
153,273.566,1.20837,0.85435,1.15321,0.67171,0.58947,0.65977,0.34025,1.66951,1.15587,1.43007,0.001238,0.001238,0.001238
154,275.121,1.1639,0.83322,1.15618,0.67171,0.58947,0.65977,0.34025,1.66951,1.15587,1.43007,0.00121325,0.00121325,0.00121325
